time,traj,ipca1,ipca2
0.0,1,-1.7270342326416759,-0.08899005369422393
0.0,2,-1.5846418604810835,1.263630374830327
0.0,3,-4.2449756179082225,1.845963358449464
0.0,4,-3.6722262526255833,1.881695762899906
0.0,5,-3.358795981251681,1.3629664779192072
0.0,6,-2.9662985350489186,1.6082829173591409
0.0,7,-1.1382413533826534,0.9415017879983782
0.0,8,-2.7821614987161167,1.422392103857303
0.0,9,-3.1194421795228027,0.7092657496077587
0.0,10,-0.4647801614901393,1.0378360755027047
0.0,11,-2.2062815537119387,2.699714406159292
0.0,12,-2.3644848857844294,2.8050269130283025
0.0,13,-3.6824136935252243,1.5397320182897036
0.0,14,-2.59230887397865,1.5201003606398729
0.0,15,-3.3606248805514536,3.2742601508392744
0.0,16,-1.7810671385138643,1.2083099108233857
0.0,17,-0.5168160636927158,1.9666481613778755
0.0,18,-1.0680567212563221,2.1317585450525036
0.0,19,-2.672868243038804,0.30396210407440605
0.0,20,-4.656255547231622,2.2437461286553613
0.0,21,-0.5712219971476792,2.2071356517013667
0.0,22,-3.055629856171509,1.435861940441444
0.0,23,-2.754313149938522,2.9270682855007553
0.0,24,-0.7223760277014123,0.7014933454578415
0.0,25,-2.2701402807229885,0.9187789560558824
0.0,26,-4.051253195917036,0.8575460685824434
0.0,27,-1.3477935882021335,0.18735799595552657
0.0,28,-2.3201030430516356,1.7412614116403065
0.0,29,-0.9467141757284564,2.093354950535022
0.0,30,-2.6703458377606144,1.4860982914250707
0.0,31,-1.457590559820976,2.315160203638503
0.0,32,-1.1920791037822587,2.245001300889431
0.0,33,-0.7220000768614031,1.3790751088923305
0.0,34,-1.760518175276534,1.4628113782259238
0.0,35,-0.9404222662513858,1.0896195245668021
0.0,36,-3.2332977208613793,1.3820330032287313
0.0,37,-1.548578042188174,0.8072249708451715
0.0,38,-2.9185962937688172,2.179075832182658
0.0,39,-1.5627943054341997,0.03185605157008578
0.0,40,-3.1242720648085793,1.805209410335269
0.0,41,-1.1638448769101661,1.8309464093283725
0.0,42,-3.8010930651785073,2.927241998923487
0.0,43,0.023860383447407024,1.1342645830485973
0.0,44,-0.3866972335828581,1.7256477130679637
0.0,45,-0.9765230125375931,2.821754261564282
0.0,46,-1.1528797432919977,1.0310172244370102
0.0,47,-0.7556203083809625,0.9354884608191483
0.0,48,-5.011412718910199,2.6490377606349047
0.0,49,-1.0936895736092704,1.0056234659031567
0.0,50,-1.0459932714020086,1.3858561782531755
0.1,1,-1.6737306990267309,-0.1066557943714086
0.1,2,-1.6287847310254726,1.3237906262765395
0.1,3,-4.220589467204511,1.836747089571582
0.1,4,-3.604164618299358,1.8611632047372848
0.1,5,-3.362072257268141,1.3635680347222023
0.1,6,-2.9624321076751583,1.579480581394323
0.1,7,-1.1593240236933997,0.9335776282686106
0.1,8,-2.7754793650118215,1.4728798491691084
0.1,9,-3.160859777885441,0.6874784123644262
0.1,10,-0.45317041786125983,1.0348823131931935
0.1,11,-2.297979908978019,2.6855321509004484
0.1,12,-2.3701410519931803,2.8394400065250833
0.1,13,-3.7182138242025102,1.5093931754660534
0.1,14,-2.6012779765108376,1.5292885018454363
0.1,15,-3.2891536137231108,3.24446345691009
0.1,16,-1.7578226651344435,1.2076370020350888
0.1,17,-0.5048883164110405,1.9504376700311776
0.1,18,-1.0383831354371302,2.050065348988367
0.1,19,-2.6207159479167594,0.3302219913252605
0.1,20,-4.528971835964139,2.199633949980143
0.1,21,-0.46867007327180765,2.1822746378741322
0.1,22,-3.068130071831143,1.4418949114825812
0.1,23,-2.716382130044674,2.9487321917731997
0.1,24,-0.770010805944609,0.6771138108054872
0.1,25,-2.237156588634311,0.8846333526001577
0.1,26,-3.976266839431752,0.873273264763978
0.1,27,-1.4223982967757585,0.18445318858279275
0.1,28,-2.34083813045706,1.7183089325025453
0.1,29,-0.905584590685505,2.0761294559077594
0.1,30,-2.6723593973943256,1.4936468670529373
0.1,31,-1.5565859690851136,2.283587914047008
0.1,32,-1.1563244500747156,2.2484478331713356
0.1,33,-0.7346675855023234,1.3906741172249728
0.1,34,-1.8087543251017741,1.4065966289676615
0.1,35,-0.9478081400823869,1.1210068257100143
0.1,36,-3.2658958107376637,1.3574389741222632
0.1,37,-1.50897098849658,0.8388108520618517
0.1,38,-2.897239956793013,2.1893747125631955
0.1,39,-1.44164412148899,0.0018648541843217879
0.1,40,-3.0443567964169724,1.8327966815464163
0.1,41,-1.235654356888513,1.8824853194508169
0.1,42,-3.7818950719988105,2.898256333892402
0.1,43,0.07770211348596077,1.1283685812234667
0.1,44,-0.4216714644533284,1.6954297173156774
0.1,45,-0.9861636440496968,2.832351421759077
0.1,46,-1.154365889705062,1.0485660043429894
0.1,47,-0.7480138517459847,0.9805439269795749
0.1,48,-5.106975184803148,2.710955463994787
0.1,49,-1.1959222111596384,0.9718925636526553
0.1,50,-1.0246383676150528,1.397791197758475
0.2,1,-1.6195721704931765,-0.12473504300535745
0.2,2,-1.675410932925801,1.385642535687038
0.2,3,-4.193220980679516,1.8267595182506382
0.2,4,-3.531782896450657,1.8414705898687775
0.2,5,-3.3625015702361045,1.3618120487565828
0.2,6,-2.9573093775644876,1.5498000173297357
0.2,7,-1.182263135646355,0.9239095731679758
0.2,8,-2.7691607147500354,1.5224163825835662
0.2,9,-3.1989056903076127,0.6664881610005744
0.2,10,-0.4424647166003943,1.0305210923343813
