time,traj,ipca1,ipca2
0.0,1,-1.0189878071856657,1.2011054244966062
0.0,2,-0.5277583637248735,-0.549248363199926
0.0,3,-1.345773520481617,1.1257748962087117
0.0,4,-0.24832831256659918,1.0993639088986287
0.0,5,-1.3877317361589416,0.14470995592687158
0.0,6,-1.0301184188636539,-0.3848139232700354
0.0,7,-0.8079298752673464,0.14784003826359457
0.0,8,-0.7951211594291874,0.6283265935296782
0.0,9,-1.4127172296577213,0.3538386199954195
0.0,10,-0.6545843732328238,-0.7447753299894477
0.0,11,-0.7512252421210526,-0.5666917540978473
0.0,12,-0.6750950883481676,0.204751670574087
0.0,13,-0.9398834325102126,0.9665378665575989
0.0,14,-0.7292381885505839,-0.5335595157285602
0.0,15,-0.9499607372205979,-0.42569154867750353
0.0,16,-1.081617022769431,1.0387421945708213
0.0,17,-0.6957411985843849,-0.35540060198720624
0.0,18,-1.2434170029551612,-1.8062282430534264
0.0,19,-1.4165971126615162,-0.1288034696756299
0.0,20,-0.646803215602855,0.2771919189812625
0.0,21,-1.6567217077507852,-0.9407460074968081
0.0,22,-0.648084798123337,-0.767614713046487
0.0,23,-0.32535916627899764,-1.5757727953882439
0.0,24,-1.932315008774526,-0.800164588586434
0.0,25,-1.3558793623217575,0.10560756791497695
0.0,26,-0.98472343245952,0.38822962524470195
0.0,27,-1.3292655690200261,0.555166230817285
0.0,28,-1.184514094198847,0.6282549122601194
0.0,29,-0.5041403317910055,0.7840311685901052
0.0,30,-0.36136353054967424,1.3759829160291592
0.0,31,-0.8495138376280035,-0.23441712338409668
0.0,32,-0.7259951274142262,-0.1226965851937755
0.0,33,-0.9340289944657262,0.6541959610825133
0.0,34,-0.6051458208963527,-1.1965388253636773
0.0,35,-1.0974487088306588,1.302766898562164
0.0,36,-1.2024151968580081,0.07977703956905285
0.0,37,-0.8760173837644312,-0.020202558649321824
0.0,38,-0.9263345973097039,-0.1477853875575063
0.0,39,-0.7551055479787506,1.9741220760244245
0.0,40,-1.0843022274424163,-0.2968877560764523
0.0,41,-0.9670518786676431,-0.5383153593484999
0.0,42,-0.8369806179652987,0.18846546933576308
0.0,43,-0.5517693540155783,-1.2013546779520647
0.0,44,-1.0487896801207666,-0.6310480283293072
0.0,45,-0.36955063253788,-1.1552243814161274
0.0,46,-1.513904974707548,0.6552261834966606
0.0,47,-0.8923641523390569,0.42972823670788657
0.0,48,-0.8528797799090374,-0.020685172106608782
0.0,49,-1.3654462567767993,0.6129402504294089
0.0,50,-0.27391589716634196,0.688577038382876
0.1,1,-1.0076382805969448,1.2107764111811083
0.1,2,-0.5063183603058019,-0.5566648458559222
0.1,3,-1.3578896124447366,1.1298692512592612
0.1,4,-0.25624279755087676,1.118956499921444
0.1,5,-1.3966550640091335,0.15686140931835585
0.1,6,-1.0073183502933822,-0.3973830653359174
0.1,7,-0.7913554036640256,-0.006463070128802798
0.1,8,-0.7979772771614623,0.627558243246266
0.1,9,-1.4445491156628152,0.36764103620715743
0.1,10,-0.5923864141447253,-0.5081043784435758
0.1,11,-0.7424305947245322,-0.5533758118391676
0.1,12,-0.6540687776340158,0.23290613810361807
0.1,13,-0.9405800956800737,0.9537556412142161
0.1,14,-0.7094583162244437,-0.5332384457920246
0.1,15,-0.9670950447393766,-0.43135721241014324
0.1,16,-1.0682170091947176,1.0377673744694307
0.1,17,-0.7000222852418946,-0.34535411700253793
0.1,18,-1.2424103716376955,-1.8187407489410587
0.1,19,-1.403780256343093,-0.11945010407780736
0.1,20,-0.6559221205020568,0.2646236078227948
0.1,21,-1.629910524609184,-0.9494521692440427
0.1,22,-0.6490368509577799,-0.7557762210061556
